architecture,regime,seed,dataset,alpha_train,acc_0,acc_01,drop_at_01
mlp_small,clean,0,cifar10,0.5,0.4824,0.48208,0.00031999999999998696
mlp_small,clean,1,cifar10,0.5,0.5035,0.49695999999999996,0.00653999999999999
mlp_small,clean,2,cifar10,0.5,0.4818,0.48052,0.0012800000000000034
mlp_small,noisy,0,cifar10,0.5,0.4656,0.4655,9.999999999998899e-05
mlp_small,noisy,1,cifar10,0.5,0.4744,0.47309999999999997,0.0013000000000000234
mlp_small,noisy,2,cifar10,0.5,0.4747,0.473,0.0017000000000000348
mlp_small,clean,0,cifar10,0.5,0.4824,0.48228,0.00012000000000000899
mlp_small,clean,1,cifar10,0.5,0.5035,0.4984,0.005099999999999938
mlp_small,clean,2,cifar10,0.5,0.4818,0.48026,0.0015399999999999858
mlp_small,noisy,0,cifar10,0.5,0.4656,0.46576000000000006,-0.000160000000000049
mlp_small,noisy,1,cifar10,0.5,0.4744,0.47182,0.002579999999999971
mlp_small,noisy,2,cifar10,0.5,0.4747,0.47388,0.0008199999999999874
mlp_medium,clean,0,cifar10,0.5,0.5039,0.50274,0.0011600000000000499
mlp_medium,clean,1,cifar10,0.5,0.5013,0.49985999999999997,0.0014399999999999968
mlp_medium,clean,2,cifar10,0.5,0.504,0.50378,0.00021999999999999797
mlp_medium,noisy,0,cifar10,0.5,0.4976,0.49546,0.0021399999999999753
mlp_medium,noisy,1,cifar10,0.5,0.4825,0.48125999999999997,0.0012400000000000189
mlp_medium,noisy,2,cifar10,0.5,0.4923,0.49218,0.00012000000000000899
mlp_large,clean,0,cifar10,0.5,0.5057,0.50466,0.001040000000000041
mlp_large,clean,1,cifar10,0.5,0.5149,0.51472,0.000180000000000069
mlp_large,clean,2,cifar10,0.5,0.5147,0.5135,0.0012000000000000899
mlp_large,noisy,0,cifar10,0.5,0.4919,0.49234,-0.00043999999999999595
mlp_large,noisy,1,cifar10,0.5,0.4887,0.48876,-5.999999999994898e-05
mlp_large,noisy,2,cifar10,0.5,0.496,0.49604,-3.999999999998449e-05
cnn,clean,0,cifar10,0.5,0.6777,0.64822,0.02947999999999995
cnn,clean,1,cifar10,0.5,0.6627,0.63562,0.027079999999999993
cnn,clean,2,cifar10,0.5,0.683,0.6519,0.031100000000000017
cnn,noisy,0,cifar10,0.5,0.6011,0.59914,0.0019599999999999618
cnn,noisy,1,cifar10,0.5,0.6086,0.6074200000000001,0.0011799999999999589
cnn,noisy,2,cifar10,0.5,0.5997,0.5967,0.0030000000000000027
resnet18,clean,0,cifar10,0.5,0.7055,0.66632,0.03917999999999999
resnet18,clean,1,cifar10,0.5,0.71,0.70088,0.009120000000000017
resnet18,clean,2,cifar10,0.5,0.7031,0.67872,0.024379999999999957
resnet18,noisy,0,cifar10,0.5,0.721,0.71742,0.0035800000000000276
resnet18,noisy,1,cifar10,0.5,0.7189,0.71594,0.0029599999999999627
resnet18,noisy,2,cifar10,0.5,0.675,0.6706000000000001,0.0043999999999999595
