architecture,regime,seed,alpha_train,acc_0,acc_01,drop_at_01
mlp_small,clean,0,0.0,0.9807,0.98048,0.00021999999999999797
mlp_small,clean,1,0.0,0.9777,0.9772399999999999,0.000460000000000127
mlp_small,clean,2,0.0,0.9801,0.9795999999999999,0.000500000000000056
mlp_small,noisy,0,0.0,0.9777,0.9775,0.00019999999999997797
mlp_small,noisy,1,0.0,0.9796,0.97994,-0.00034000000000000696
mlp_small,noisy,2,0.0,0.9798,0.97944,0.00036000000000002697
mlp_small,clean,0,0.5,0.9807,0.98044,0.000260000000000038
mlp_small,clean,1,0.5,0.9777,0.97726,0.00043999999999999595
mlp_small,clean,2,0.5,0.9801,0.9803200000000001,-0.000220000000000109
mlp_small,noisy,0,0.5,0.9805,0.98056,-5.999999999994898e-05
mlp_small,noisy,1,0.5,0.9794,0.9794,0.0
mlp_small,noisy,2,0.5,0.9805,0.98066,-0.00015999999999993797
